target,variavel,pearson,spearman
hotspot_index_max_over_mean,area_km2_ibge,0.8574645880198285,0.8069571331657852
hotspot_index_max_over_mean,residuo_luminoso_log,0.25349805394647673,0.34216447381094567
hotspot_index_max_over_mean,residuo_luminoso_std,0.2534980539464766,0.34216447381094567
hotspot_index_max_over_mean,max_radiance,0.09983880144316234,0.2311918475852902
hotspot_index_max_over_mean,sum_radiance,-0.09210358435357077,0.06983876249735124
hotspot_index_max_over_mean,share_radiancia_total_ce_pct,-0.09210358435357054,0.06983876249735124
hotspot_index_max_over_mean,pop_2022_ibge,-0.0885660564790553,0.06404037679875171
hotspot_index_max_over_mean,radiancia_total_per_capita_2022,-0.04433750168411598,0.02255976575292327
hotspot_index_max_over_mean,median_radiance,-0.19100725280653538,-0.7084321969955332
hotspot_index_max_over_mean,mean_radiance,-0.2269759687555037,-0.7525495559707962
hotspot_index_max_over_mean,densidade_2022_ibge_hab_km2,-0.16588798912459002,-0.786615521316456
hotspot_index_max_over_mean,percent_area_above_1,-0.48719753561999896,-0.7972221687118337
mean_radiance,percent_area_above_1,0.6951122462959706,0.9820095933424515
mean_radiance,densidade_2022_ibge_hab_km2,0.935388852863425,0.9184742118128085
mean_radiance,median_radiance,0.9767669736748975,0.7384546795681493
mean_radiance,sum_radiance,0.8360585767883677,0.4313324728862861
mean_radiance,share_radiancia_total_ce_pct,0.8360585767883674,0.4313324728862861
mean_radiance,max_radiance,0.49560384708781285,0.39173970834697847
mean_radiance,pop_2022_ibge,0.8370202460371389,0.352304906474543
mean_radiance,radiancia_total_per_capita_2022,-0.02758498858460287,0.25643312592706746
mean_radiance,residuo_luminoso_log,0.5354240966618512,-0.2404249581013658
mean_radiance,residuo_luminoso_std,0.5354240966618511,-0.2404249581013658
mean_radiance,area_km2_ibge,-0.1633071391483673,-0.5389933684318656
mean_radiance,hotspot_index_max_over_mean,-0.22697596875550363,-0.7525495559707962
percent_area_above_1,mean_radiance,0.6951122462959706,0.9820095933424515
percent_area_above_1,densidade_2022_ibge_hab_km2,0.5239640938484765,0.9103497099622575
percent_area_above_1,median_radiance,0.6062785833965486,0.7600393627491232
percent_area_above_1,sum_radiance,0.5202572206977768,0.3968099246787771
percent_area_above_1,share_radiancia_total_ce_pct,0.5202572206977772,0.3968099246787771
percent_area_above_1,pop_2022_ibge,0.41309830832641187,0.32651075879871316
percent_area_above_1,max_radiance,0.40445741343408215,0.30450771512781494
percent_area_above_1,radiancia_total_per_capita_2022,0.12103629126083401,0.2274007435803587
percent_area_above_1,residuo_luminoso_log,0.33612529498657473,-0.25530619714511377
percent_area_above_1,residuo_luminoso_std,0.3361252949865746,-0.25530619714511377
percent_area_above_1,area_km2_ibge,-0.34880290029245176,-0.5631608096654165
percent_area_above_1,hotspot_index_max_over_mean,-0.48719753561999896,-0.7972221687118337
residuo_luminoso_log,residuo_luminoso_std,0.9999999999999992,1.0
residuo_luminoso_log,radiancia_total_per_capita_2022,0.5038127142873466,0.5388395523106856
residuo_luminoso_log,hotspot_index_max_over_mean,0.25349805394647673,0.34216447381094567
residuo_luminoso_log,area_km2_ibge,0.22301657019621368,0.33280293581195314
residuo_luminoso_log,max_radiance,0.43709866393180696,0.22717535782396794
residuo_luminoso_log,sum_radiance,0.4247818999937567,0.18090000192637398
residuo_luminoso_log,share_radiancia_total_ce_pct,0.42478189999375676,0.18090000192637398
residuo_luminoso_log,pop_2022_ibge,0.3310090705746976,-0.04556067114869681
residuo_luminoso_log,median_radiance,0.48628307644592295,-0.13311145924650733
residuo_luminoso_log,mean_radiance,0.5354240966618513,-0.2404249581013658
residuo_luminoso_log,percent_area_above_1,0.33612529498657484,-0.25530619714511377
residuo_luminoso_log,densidade_2022_ibge_hab_km2,0.4006101309093566,-0.5179906907767968
sum_radiance,share_radiancia_total_ce_pct,1.0000000000000002,1.0
sum_radiance,pop_2022_ibge,0.9470475506848729,0.915202943499451
sum_radiance,max_radiance,0.5904206427737506,0.8070524551636454
sum_radiance,area_km2_ibge,0.07715732257203446,0.4405176191880331
sum_radiance,mean_radiance,0.8360585767883677,0.4313324728862861
sum_radiance,percent_area_above_1,0.5202572206977768,0.3968099246787771
sum_radiance,densidade_2022_ibge_hab_km2,0.8929766329667237,0.3096692167112691
sum_radiance,radiancia_total_per_capita_2022,0.04754842117657189,0.30224615206796246
sum_radiance,median_radiance,0.8428207059524919,0.21908477080543942
sum_radiance,residuo_luminoso_log,0.4247818999937567,0.18090000192637398
sum_radiance,residuo_luminoso_std,0.4247818999937568,0.18090000192637398
sum_radiance,hotspot_index_max_over_mean,-0.09210358435357074,0.06983876249735124
